"Cook Islands",17.564000
"French Polynesia",280.904000
"Niue",1.618000
"Samoa",198.410000
"Tokelau",1.350000
"Tonga",105.697000
"Tuvalu",11.792000
"Wallis and Futuna Islands",11.246000
"EUROPE AND NORTHERN AMERICA",1116505.689000
"EUROPE",747636.045000
"Eastern Europe",293013.210000
"Belarus",9449.321000
"Bulgaria",6948.445000
"Czechia",10708.982000
"Hungary",9660.350000
"Poland",37846.605000
"Republic of Moldova",4033.963000
"Romania",19237.682000
"Russian Federation",145934.460000
"Slovakia",5459.643000
"Ukraine",43733.759000
"Northern Europe",106261.271000
"Channel Islands",173.859000
"Denmark",5792.203000
"Estonia",1326.539000
"Faroe Islands",48.865000
"Finland",5540.718000
"Iceland",341.250000
"Ireland",4937.796000
"Isle of Man",85.032000
"Latvia",1886.202000
"Lithuania",2722.291000
"Norway",5421.242000
"Sweden",10099.270000
"United Kingdom",67886.004000
"Southern Europe",152215.243000
"Albania",2877.800000
"Andorra",77.265000
"Bosnia and Herzegovina",3280.815000
"Croatia",4105.268000
"Gibraltar",33.691000
"Greece",10423.056000
"Holy See",0.809000
"Italy",60461.828000
"Malta",441.539000
"Montenegro",628.062000
"North Macedonia",2083.380000
"Portugal",10196.707000
"San Marino",33.938000
"Serbia",8737.370000
"Slovenia",2078.932000
"Spain",46754.783000
"Western Europe",196146.321000
"Austria",9006.400000
"Belgium",11589.616000
"France",65273.512000
"Germany",83783.945000
"Liechtenstein",38.137000
"Luxembourg",625.976000
"Monaco",39.244000
"Netherlands",17134.873000
"Switzerland",8654.618000
"NORTHERN AMERICA",368869.644000
"Bermuda",62.273000
"Canada",37742.157000
"Greenland",56.772000
"Saint Pierre and Miquelon",5.795000
"United States of America",331002.647000
